column,dtype,missing_count,missing_pct,n_unique
code_canton,string,266585,100.0,0
libelle_canton,string,266585,100.0,0
code_circonscription,string,266585,100.0,0
libelle_circonscription,string,266585,100.0,0
ratio_blancs_votants,float64,90749,34.0413,2045
ratio_blancs_inscrits,float64,90669,34.0113,1345
blancs,float64,90649,34.0038,133
ratio_exprimes_votants,float64,100,0.0375,4180
ratio_nuls_votants,float64,100,0.0375,3840
ratio_exprimes_inscrits,float64,20,0.0075,8223
ratio_nuls_inscrits,float64,20,0.0075,2691
ratio_votants_inscrits,float64,20,0.0075,8139
ratio_abstentions_inscrits,float64,20,0.0075,8139
id_election,string,0,0.0,6
exprimes,int64,0,0.0,1316
annee,Int64,0,0.0,3
votants,int64,0,0.0,1370
nuls,int64,0,0.0,350
id_brut_miom,string,0,0.0,74567
abstentions,int64,0,0.0,1297
inscrits,int64,0,0.0,2042
code_bv,string,0,0.0,2095
libelle_commune,string,0,0.0,43741
code_commune,string,0,0.0,36760
libelle_departement,string,0,0.0,104
code_departement,string,0,0.0,112
tour,string,0,0.0,2
