column,dtype,missing_count,missing_pct,n_unique
id_election,string,0,0.0,56
id_brut_miom,string,0,0.0,76836
code_departement,string,0,0.0,117
libelle_departement,string,0,0.0,162
code_canton,string,2641176,83.517,79
libelle_canton,string,2907605,91.9418,2143
code_commune,string,0,0.0,37053
libelle_commune,string,0,0.0,66332
code_circonscription,string,2341117,74.0288,21
libelle_circonscription,string,2607546,82.4536,22
code_bv,string,0,0.0,2226
inscrits,int64,0,0.0,3544
abstentions,int64,0,0.0,2799
votants,int64,0,0.0,2566
blancs,float64,1895191,59.9281,279
nuls,int64,0,0.0,509
exprimes,int64,0,0.0,2494
ratio_abstentions_inscrits,float64,90,0.0028,9662
ratio_votants_inscrits,float64,90,0.0028,9662
ratio_blancs_inscrits,float64,1895281,59.931,2008
ratio_blancs_votants,float64,1895524,59.9387,2890
ratio_nuls_inscrits,float64,90,0.0028,3278
ratio_nuls_votants,float64,398,0.0126,4515
ratio_exprimes_inscrits,float64,90,0.0028,9583
ratio_exprimes_votants,float64,398,0.0126,4712
