colonne,nb_manquants,pct_manquants,dtype
unnamed_30,34958,100.0,str
liste,24966,71.42,str
sieges_cc,24966,71.42,float64
sieges_secteur,24966,71.42,float64
sieges_elu,3451,9.87,str
abs_ins,0,0.0,str
abstentions,0,0.0,int64
blancs,0,0.0,int64
blancs_ins,0,0.0,str
blancs_vot,0,0.0,str
code_de_la_commune,0,0.0,str
code_du_departement,0,0.0,str
code_nuance,0,0.0,str
exp_ins,0,0.0,str
exp_vot,0,0.0,str
exprimes,0,0.0,int64
inscrits,0,0.0,int64
libelle_de_la_commune,0,0.0,str
libelle_du_departement,0,0.0,str
n_pan,0,0.0,int64
nom,0,0.0,str
nuls,0,0.0,int64
nuls_ins,0,0.0,str
nuls_vot,0,0.0,str
prenom,0,0.0,str
sexe,0,0.0,str
voix,0,0.0,int64
voix_exp,0,0.0,str
voix_ins,0,0.0,str
vot_ins,0,0.0,str
votants,0,0.0,int64
