,count,mean,std,min,25%,50%,75%,max
annee,79702.0,2021.88,4.09,2014.0,2020.0,2020.0,2026.0,2026.0
covid_2020,79702.0,0.44,0.5,0.0,0.0,0.0,1.0,1.0
nombre_inscrits,69796.0,1359.85,7747.47,5.0,165.0,362.0,903.0,1405332.0
nombre_abstentions,69796.0,666.13,3750.78,-3.0,51.0,135.0,393.0,577733.0
nombre_votants,79701.0,901.28,4280.57,0.0,120.0,267.0,712.0,827599.0
nombre_exprimes,69796.0,659.51,4065.98,3.0,99.0,201.0,448.0,815448.0
taux_participation,79701.0,62.17,12.97,0.0,53.64,62.31,70.92,101.44
taux_abstention,79702.0,37.83,12.97,-1.44,29.08,37.69,46.36,100.0
population_totale,78918.0,2242.9,9032.56,1.0,222.0,573.0,1580.0,493465.0
population_hommes,78918.0,1084.7,4309.83,0.0,112.0,286.0,779.0,239191.0
population_femmes,78918.0,1158.2,4724.87,0.0,110.0,285.0,803.0,254274.0
population_15_29,78918.0,389.81,2285.13,0.0,27.0,75.0,217.0,157500.0
population_30_44,78918.0,415.3,1775.49,0.0,38.0,104.0,285.0,104922.0
population_45_59,78918.0,446.19,1560.96,0.0,49.0,125.0,339.0,73983.0
population_60_74,78918.0,374.45,1253.2,0.0,44.0,107.0,292.0,59562.0
population_75_plus,78918.0,213.67,793.94,0.0,20.0,49.0,152.0,42191.0
annee_source,78847.0,2018.05,3.83,2011.0,2016.0,2016.0,2022.0,2022.0
taux_chomage,78830.0,9.99,4.77,0.0,6.86,9.22,12.32,100.0
nombre_chomeurs,78830.0,133.95,849.75,0.0,9.14,24.16,68.0,123857.21
population_active,78830.0,1064.64,6271.59,0.0,104.39,272.82,732.18,1195740.98
revenu_median,71786.0,22143.5,3077.83,11730.0,20200.0,21670.0,23540.0,51720.0
taux_pauvrete,12839.0,13.35,6.38,5.0,9.0,12.0,17.0,55.0
nb_menages,71786.0,1070.48,5893.25,34.0,120.0,280.0,731.0,1037197.0
nb_personnes,71786.0,2420.06,12063.22,74.0,280.0,665.0,1720.0,2046445.0
crimes_delits_annee_source,78847.0,2025.0,0.0,2025.0,2025.0,2025.0,2025.0,2025.0
nombre_faits,78847.0,103.09,1229.26,0.0,0.0,0.0,18.0,251466.0
taux_criminalite,78847.0,1.33,3.55,0.0,0.0,0.0,2.36,342.24
nb_indicateurs,78847.0,7.7,3.13,0.0,5.0,7.0,10.0,15.0
