code_commune,nom_commune,2014,2020,variation_absolue,variation_relative_pct
2A001,AFA,89.98,28.99,-60.99000000000001,-67.78
34179,MURVIEL-LÈS-MONTPELLIER,98.22,37.69,-60.53,-61.63
2A017,APPIETTO,86.68,30.07,-56.61000000000001,-65.31
57101,BOUSBACH,79.71,25.74,-53.97,-67.71
2A006,ALATA,80.04,28.25,-51.790000000000006,-64.71
72287,SAINT-GERVAIS-EN-BELIN,81.87,30.22,-51.650000000000006,-63.09
57261,GROS-RÉDERCHING,79.04,28.35,-50.690000000000005,-64.13
59602,TRESSIN,79.62,29.32,-50.300000000000004,-63.18
27390,MARCILLY-LA-CAMPAGNE,79.88,29.65,-50.23,-62.88
39128,CHAUSSIN,84.1,34.49,-49.60999999999999,-58.99
57644,SEINGBOUSE,79.82,30.24,-49.58,-62.11
02720,SISSONNE,78.59,29.29,-49.300000000000004,-62.73
38536,VERNIOZ,79.71,31.25,-48.459999999999994,-60.8
54400,NOMENY,83.5,35.29,-48.21,-57.74
57153,CORNY-SUR-MOSELLE,70.69,22.58,-48.11,-68.06
2A228,PIETROSELLA,86.73,39.02,-47.71,-55.01
59613,VICQ,76.51,28.99,-47.52000000000001,-62.11
57330,HOLVING,76.97,29.58,-47.39,-61.57
62073,BAILLEUL-SIR-BERTHOULT,83.89,36.52,-47.37,-56.47
25315,L'ISLE-SUR-LE-DOUBS,80.47,33.17,-47.3,-58.78
30352,VILLEVIEILLE,81.0,33.73,-47.27,-58.36
21273,FLEUREY-SUR-OUCHE,80.16,33.0,-47.16,-58.83
68304,SENTHEIM,76.17,29.03,-47.14,-61.89
84107,SAINT-CHRISTOL,90.17,43.3,-46.870000000000005,-51.98
68249,ORBEY,71.61,24.8,-46.81,-65.37
68368,WIHR-AU-VAL,74.09,27.45,-46.64,-62.95
68138,HIRSINGUE,68.53,21.89,-46.64,-68.06
42075,CRAINTILLEUX,77.82,31.3,-46.519999999999996,-59.78
34244,SAINT-BRÈS,63.79,17.29,-46.5,-72.9
57351,JURY,76.37,29.92,-46.45,-60.82
77128,COUILLY-PONT-AUX-DAMES,76.59,30.19,-46.400000000000006,-60.58
50599,TOLLEVAST,76.16,29.8,-46.36,-60.87
38215,LUZINAY,73.65,27.32,-46.330000000000005,-62.91
67460,SCHWINDRATZHEIM,76.71,30.38,-46.33,-60.4
54490,SAIZERAIS,74.09,27.81,-46.28,-62.46
54449,REHAINVILLER,80.69,34.47,-46.22,-57.28
71346,PERRECY-LES-FORGES,75.66,29.45,-46.209999999999994,-61.08
68129,HEIMSBRUNN,71.76,25.73,-46.03,-64.14
02668,SAINS-RICHAUMONT,89.56,43.67,-45.89,-51.24
89480,VINNEUF,76.71,30.91,-45.8,-59.71
76141,BRÉAUTÉ,81.85,36.06,-45.78999999999999,-55.94
50400,PICAUVILLE,73.51,27.81,-45.7,-62.17
06057,L'ESCARÈNE,73.79,28.15,-45.64000000000001,-61.85
57102,BOUSSE,69.57,23.94,-45.629999999999995,-65.59
67547,WITTISHEIM,74.97,29.44,-45.53,-60.73
35067,CHASNÉ-SUR-ILLET,78.4,33.01,-45.39000000000001,-57.9
54232,GONDREVILLE,72.47,27.12,-45.349999999999994,-62.58
08327,NOUVION-SUR-MEUSE,76.88,31.54,-45.339999999999996,-58.98
28051,BONNEVAL,80.14,34.81,-45.33,-56.56
14274,FONTAINE-ETOUPEFOUR,74.43,29.18,-45.25000000000001,-60.8
02602,PINON,73.71,28.5,-45.209999999999994,-61.33
71309,MONTCENIS,74.08,28.93,-45.15,-60.95
54391,MOUTIERS,72.34,27.24,-45.10000000000001,-62.34
14009,AMFREVILLE,81.66,36.57,-45.089999999999996,-55.22
25047,BAUME-LES-DAMES,71.54,26.55,-44.99000000000001,-62.89
63080,CHAMPEIX,81.07,36.11,-44.959999999999994,-55.46
33005,ANDERNOS-LES-BAINS,72.36,27.41,-44.95,-62.12
59489,RAIMBEAUCOURT,75.05,30.13,-44.92,-59.85
30331,TRESQUES,78.48,33.69,-44.790000000000006,-57.07
35178,MÉZIÈRES-SUR-COUESNON,81.58,36.82,-44.76,-54.87
68242,OBERHERGHEIM,80.28,35.53,-44.75,-55.74
42056,CHAVANAY,67.05,22.35,-44.699999999999996,-66.67
68321,STAFFELFELDEN,63.59,18.91,-44.68000000000001,-70.26
35010,BAGUER-PICAN,81.64,37.15,-44.49,-54.5
57208,FARSCHVILLER,74.78,30.39,-44.39,-59.36
68078,EGUISHEIM,78.53,34.29,-44.24,-56.34
06031,CANTARON,77.1,32.86,-44.239999999999995,-57.38
2B150,LUMIO,90.35,46.12,-44.23,-48.95
68384,ZILLISHEIM,70.33,26.12,-44.209999999999994,-62.86
63265,ORLÉAT,72.85,28.65,-44.199999999999996,-60.67
69076,DOMMARTIN,74.01,30.07,-43.940000000000005,-59.37
73007,AITON,77.55,33.61,-43.94,-56.66
59016,ARMBOUTS-CAPPEL,80.47,36.58,-43.89,-54.54
34182,NÉZIGNAN-L'EVÊQUE,80.44,36.55,-43.89,-54.56
28001,ABONDANT,73.77,29.88,-43.89,-59.5
77311,MONTIGNY-LENCOUP,80.48,36.61,-43.870000000000005,-54.51
42234,SAINT-HÉAND,74.42,30.61,-43.81,-58.87
59221,FAMARS,73.05,29.25,-43.8,-59.96
43184,SAINT-FERRÉOL-D'AUROURE,70.72,26.94,-43.78,-61.91
29300,LE TRÉVOUX,81.98,38.2,-43.78,-53.4
2B143,LINGUIZZETTA,89.66,45.89,-43.769999999999996,-48.82
38149,DOMARIN,69.99,26.26,-43.72999999999999,-62.48
07323,TOULAUD,72.46,28.74,-43.72,-60.34
68091,FESSENHEIM,70.93,27.24,-43.69000000000001,-61.6
74015,ARBUSIGNY,82.49,38.8,-43.69,-52.96
26139,GÉNISSIEUX,74.07,30.39,-43.67999999999999,-58.97
62688,RANG-DU-FLIERS,70.54,26.87,-43.67,-61.91
35121,GOSNÉ,80.06,36.4,-43.660000000000004,-54.53
57460,MERTEN,69.79,26.26,-43.53,-62.37
56158,PLESCOP,67.51,24.13,-43.38000000000001,-64.26
71176,DIGOIN,70.54,27.29,-43.25000000000001,-61.31
68375,WITTELSHEIM,61.07,17.82,-43.25,-70.82
42013,BELLEGARDE-EN-FOREZ,71.46,28.21,-43.24999999999999,-60.52
67131,ESCHAU,70.44,27.2,-43.239999999999995,-61.39
56021,BRANDÉRION,81.79,38.59,-43.2,-52.82
67500,URMATT,71.4,28.21,-43.190000000000005,-60.49
59289,HAUSSY,72.25,29.09,-43.16,-59.74
14044,BASLY,74.6,31.44,-43.16,-57.86
30174,MONTAREN-ET-SAINT-MÉDIERS,77.26,34.13,-43.13,-55.82
25448,PELOUSEY,77.88,34.76,-43.12,-55.37
50394,PÉRIERS,74.79,31.68,-43.11000000000001,-57.64
82048,DIEUPENTALE,77.69,34.6,-43.089999999999996,-55.46
13068,PARADOU,78.53,35.48,-43.050000000000004,-54.82
29257,SAINT-PABU,78.55,35.51,-43.04,-54.79
54065,BERTRICHAMPS,77.78,34.74,-43.04,-55.34
63213,LES MARTRES-D'ARTIÈRE,79.07,36.04,-43.029999999999994,-54.42
68217,MOOSCH,75.71,32.69,-43.019999999999996,-56.82
30165,MÉJANNES-LÈS-ALÈS,84.08,41.06,-43.019999999999996,-51.17
78451,NÉZEL,77.36,34.4,-42.96,-55.53
31553,THIL,76.0,33.07,-42.93,-56.49
01010,ANGLEFORT,78.22,35.29,-42.93,-54.88
59523,SAINGHIN-EN-MÉLANTOIS,73.15,30.23,-42.92,-58.67
42283,SAINT-ROMAIN-EN-JAREZ,77.55,34.64,-42.91,-55.33
25432,ORCHAMPS-VENNES,81.57,38.69,-42.879999999999995,-52.57
47283,SAINT-VITE,79.44,36.57,-42.87,-53.97
54188,FAULX,74.09,31.23,-42.86,-57.85
57205,FALCK,66.91,24.06,-42.849999999999994,-64.04
77393,ROZAY-EN-BRIE,68.2,25.39,-42.81,-62.77
77415,SAINT-JEAN-LES-DEUX-JUMEAUX,72.25,29.45,-42.8,-59.24
62323,FAMPOUX,87.39,44.62,-42.77,-48.94
79083,CHEF-BOUTONNE,75.26,32.5,-42.760000000000005,-56.82
26338,SAUZET,74.73,32.05,-42.68000000000001,-57.11
78465,ORGERUS,72.24,29.57,-42.669999999999995,-59.07
67212,HOLTZHEIM,68.05,25.42,-42.629999999999995,-62.65
62376,GONNEHEM,73.51,30.9,-42.61000000000001,-57.96
30061,LA CALMETTE,72.84,30.24,-42.60000000000001,-58.48
29173,PLONÉIS,73.91,31.31,-42.599999999999994,-57.64
67504,VALFF,77.44,34.88,-42.559999999999995,-54.96
45020,LE BARDON,80.93,38.45,-42.480000000000004,-52.49
47238,SAINTE-COLOMBE-EN-BRUILHOIS,76.31,33.85,-42.46,-55.64
88178,LES FORGES,78.78,36.34,-42.44,-53.87
84073,MÉNERBES,83.07,40.65,-42.419999999999995,-51.07
47069,COLAYRAC-SAINT-CIRQ,75.02,32.6,-42.419999999999995,-56.54
06108,LA ROQUETTE-SUR-SIAGNE,66.9,24.5,-42.400000000000006,-63.38
56261,LA VRAIE-CROIX,83.32,40.94,-42.379999999999995,-50.86
30214,RIBAUTE-LES-TAVERNES,77.27,34.9,-42.37,-54.83
83054,LA FARLÈDE,68.07,25.74,-42.33,-62.19
44192,SAINT-VIAUD,73.45,31.13,-42.32000000000001,-57.62
67098,DINSHEIM SUR BRUCHE,74.63,32.33,-42.3,-56.68
59408,MONCHEAUX,71.68,29.41,-42.27000000000001,-58.97
59203,ERRE,75.24,32.97,-42.269999999999996,-56.18
77047,BOULEURS,66.7,24.44,-42.260000000000005,-63.36
10401,VENDEUVRE-SUR-BARSE,74.12,31.92,-42.2,-56.93
53262,SOULGÉ-SUR-OUETTE,80.08,37.88,-42.199999999999996,-52.7
38081,CHARANTONNAY,70.64,28.53,-42.11,-59.61
