code_commune,nom_commune,2020,2026,variation_absolue,variation_relative_pct
41205,SAINT-CYR-DU-GAULT,61.94,0.0,-61.94,-100.0
77049,BOUTIGNY,100.0,48.62,-51.38,-51.38
54471,SAINT-BOINGT,90.0,41.79,-48.21,-53.57
55160,DOMPIERRE-AUX-BOIS,90.24,43.75,-46.489999999999995,-51.52
76418,MAULÉVRIER-SAINTE-GERTRUDE,97.74,52.77,-44.96999999999999,-46.01
55149,DELUT,80.72,36.36,-44.36,-54.96
54389,MOUAVILLE,76.62,33.75,-42.870000000000005,-55.95
10167,GRANDVILLE,85.94,43.08,-42.86,-49.87
52319,MENNOUVEAUX,91.04,49.23,-41.81000000000001,-45.92
52195,FARINCOURT,96.43,54.72,-41.71000000000001,-43.25
52335,MONTOT-SUR-ROGNON,89.01,48.28,-40.730000000000004,-45.76
09140,IGNAUX,95.88,55.21,-40.669999999999995,-42.42
2B252,PRUNO,91.9,51.56,-40.34,-43.9
80074,BECQUIGNY,84.54,44.32,-40.220000000000006,-47.58
57446,MARIMONT-LÈS-BÉNESTROFF,94.12,54.0,-40.120000000000005,-42.63
26021,AUTICHAMP,87.69,48.0,-39.69,-45.26
60353,LAVACQUERIE,95.36,56.44,-38.92,-40.81
55280,LANHÈRES,93.33,55.32,-38.01,-40.73
77434,SAINT-SAUVEUR-LÈS-BRAY,100.0,62.46,-37.54,-37.54
55262,JUVIGNY-SUR-LOISON,86.31,49.14,-37.17,-43.07
52487,THILLEUX,83.33,46.27,-37.059999999999995,-44.47
52288,LEZÉVILLE,100.0,63.0,-37.0,-37.0
89431,VASSY-SOUS-PISY,91.55,54.67,-36.879999999999995,-40.28
25588,VAUCLUSE,93.59,56.79,-36.800000000000004,-39.32
60283,GOUY-LES-GROSEILLERS,91.3,54.55,-36.75,-40.25
57539,PÉVANGE,93.88,57.5,-36.379999999999995,-38.75
80450,INVAL-BOIRON,91.57,55.41,-36.16,-39.49
70251,FRANCOURT,85.39,49.44,-35.95,-42.1
52011,ANNÉVILLE-LA-PRAIRIE,93.06,57.14,-35.92,-38.6
2B055,CAMPITELLO,92.02,56.29,-35.73,-38.83
11114,CUMIÈS,82.86,47.37,-35.49,-42.83
39502,SANTANS,88.03,52.56,-35.47,-40.29
57685,VAHL-LÈS-BÉNESTROFF,89.29,53.85,-35.440000000000005,-39.69
50634,VIDECOSVILLE,82.19,46.84,-35.349999999999994,-43.01
52287,LEVÉCOURT,87.06,51.85,-35.21,-40.44
43250,VALS-LE-CHASTEL,80.36,45.24,-35.12,-43.7
77452,SIGY,96.97,62.07,-34.9,-35.99
80264,ECLUSIER-VAUX,97.56,62.96,-34.6,-35.47
52474,SILVAROUVRES,95.0,60.47,-34.53,-36.35
08430,STONNE,89.47,55.0,-34.47,-38.53
88045,BEAUFREMONT,85.14,50.67,-34.47,-40.49
51273,GIVRY-LÈS-LOISY,91.8,57.38,-34.419999999999995,-37.49
55127,COURCELLES-EN-BARROIS,100.0,65.63,-34.370000000000005,-34.37
55437,ROMAGNE-SOUS-LES-CÔTES,84.85,50.49,-34.35999999999999,-40.49
84023,BUOUX,99.01,64.71,-34.30000000000001,-34.64
63134,DAUZAT-SUR-VODABLE,79.73,45.71,-34.02,-42.67
55507,THILLOT,77.98,43.98,-34.00000000000001,-43.6
10200,LA LOGE-AUX-CHÈVRES,95.65,61.8,-33.85000000000001,-35.39
55219,GRIMAUCOURT-EN-WOËVRE,91.25,57.5,-33.75,-36.99
11310,RENNES-LES-BAINS,87.13,53.49,-33.63999999999999,-38.61
55211,GINCREY,91.67,58.18,-33.49,-36.53
2B350,VIGNALE,90.65,57.26,-33.39000000000001,-36.83
54118,CHARENCY-VEZIN,71.5,38.24,-33.26,-46.52
25433,ORGEANS-BLANCHEFONTAINE,80.0,46.88,-33.12,-41.4
60472,OFFOY,87.78,54.74,-33.04,-37.64
52106,CHANOY,92.31,59.29,-33.02,-35.77
02412,LAUNOY,87.01,54.05,-32.96000000000001,-37.88
76371,LES IFS,92.31,59.38,-32.93,-35.67
71317,MONTMORT,80.39,47.53,-32.86,-40.88
51191,COURTÉMONT,80.0,47.17,-32.83,-41.04
38254,MONTEYNARD,82.87,50.25,-32.620000000000005,-39.36
88446,SAULXURES-LÈS-BULGNÉVILLE,88.32,55.71,-32.60999999999999,-36.92
39448,RAHON,90.45,57.92,-32.53,-35.96
55107,CHAUMONT-DEVANT-DAMVILLERS,86.49,54.05,-32.44,-37.51
68293,SAINT-COSME,95.24,62.82,-32.419999999999995,-34.04
2B301,SAN-GAVINO-DI-TENDA,87.21,55.0,-32.209999999999994,-36.93
52528,VILLE-EN-BLAISOIS,88.98,56.8,-32.18000000000001,-36.17
11046,BOURIGEOLE,96.0,63.83,-32.17,-33.51
23038,BUSSIÈRE-SAINT-GEORGES,82.98,50.89,-32.09,-38.67
51015,ARGERS,95.24,63.16,-32.08,-33.68
32372,SAINT-CRICQ,85.85,53.78,-32.06999999999999,-37.36
51062,BINARVILLE,84.21,52.17,-32.03999999999999,-38.05
51341,MALMY,83.33,51.35,-31.979999999999997,-38.38
52376,PANSEY,81.97,50.0,-31.97,-39.0
57366,KIRVILLER,87.74,55.81,-31.929999999999993,-36.39
2A268,SAMPOLO,85.61,53.72,-31.89,-37.25
39249,GERMIGNEY,85.29,53.52,-31.770000000000003,-37.25
48108,LA PANOUSE,87.84,56.18,-31.660000000000004,-36.04
60657,VAUCHELLES,87.74,56.19,-31.549999999999997,-35.96
57709,VESCHEIM,84.48,53.09,-31.39,-37.16
57692,VANNECOURT,90.77,59.38,-31.389999999999993,-34.58
31041,BAGIRY,82.47,51.11,-31.36,-38.03
76189,CRASVILLE-LA-MALLET,90.48,59.18,-31.300000000000004,-34.59
21583,SANTOSSE,85.42,54.35,-31.07,-36.37
22169,PEUMERIT-QUINTIN,92.98,61.94,-31.040000000000006,-33.38
26254,PRADELLE,84.85,53.85,-30.999999999999993,-36.54
52356,NOMÉCOURT,85.39,54.46,-30.93,-36.22
59127,CAPELLE,85.61,54.69,-30.92,-36.12
60377,MAISONCELLE-TUILERIE,91.97,61.09,-30.879999999999995,-33.58
71060,BRIANT,89.05,58.21,-30.839999999999996,-34.63
89191,GLAND,98.11,67.35,-30.760000000000005,-31.35
21175,CIREY-LÈS-PONTAILLER,86.52,55.86,-30.659999999999997,-35.44
25129,CHASSAGNE-SAINT-DENIS,95.19,64.55,-30.64,-32.19
21430,MONTIGNY-SAINT-BARTHÉLEMY,73.97,43.33,-30.64,-41.42
2A160,MOCA-CROCE,94.3,63.66,-30.64,-32.49
66111,MONTALBA-LE-CHÂTEAU,88.95,58.33,-30.620000000000005,-34.42
50457,SAINTE-COLOMBE,75.74,45.18,-30.559999999999995,-40.35
38472,SARCENAS,89.12,58.65,-30.470000000000006,-34.19
08351,QUILLY,92.16,61.7,-30.459999999999994,-33.05
21570,SAINTE-SABINE,84.73,54.35,-30.380000000000003,-35.86
02040,AUTREPPES,90.85,60.47,-30.379999999999995,-33.44
08373,RUMIGNY,86.64,56.28,-30.36,-35.04
57203,EVRANGE,80.32,50.0,-30.319999999999993,-37.75
57439,MANDEREN-RITZING,73.47,43.19,-30.28,-41.21
02685,SAINT-NICOLAS-AUX-BOIS,88.54,58.33,-30.210000000000008,-34.12
79346,LE VERT,82.86,52.68,-30.18,-36.42
54224,GERMONVILLE,74.29,44.14,-30.150000000000006,-40.58
05063,LA GRAVE,76.12,46.04,-30.080000000000005,-39.52
21061,BELLENOD-SUR-SEINE,76.36,46.3,-30.060000000000002,-39.37
55242,HENNEMONT,92.39,62.35,-30.04,-32.51
39372,MOURNANS-CHARBONNY,91.14,61.11,-30.03,-32.95
32151,GOUX,91.07,61.19,-29.879999999999995,-32.81
26131,EYZAHUT,93.62,63.87,-29.750000000000007,-31.78
08417,SÉVIGNY-LA-FORÊT,84.58,54.87,-29.71,-35.13
54210,FRÉMÉNIL,84.0,54.3,-29.700000000000003,-35.36
2A154,MARIGNANA,87.5,57.83,-29.67,-33.91
39163,CONDES,82.8,53.15,-29.65,-35.81
55461,SAINT-LAURENT-SUR-OTHAIN,68.83,39.2,-29.629999999999995,-43.05
25582,VALLEROY,85.96,56.35,-29.609999999999992,-34.45
39201,DOUCIER,78.54,48.94,-29.60000000000001,-37.69
80384,GRANDCOURT,80.12,50.61,-29.510000000000005,-36.83
52371,OUDINCOURT,65.69,36.19,-29.5,-44.91
21548,SAINT-GERMAIN-DE-MODÉON,87.01,57.52,-29.490000000000002,-33.89
80465,LANGUEVOISIN-QUIQUERY,94.8,65.31,-29.489999999999995,-31.11
11060,CAILLA,83.33,53.85,-29.479999999999997,-35.38
54200,FLIREY,81.69,52.21,-29.479999999999997,-36.09
57470,MOLRING,100.0,70.59,-29.409999999999997,-29.41
11191,LAROQUE-DE-FA,88.71,59.35,-29.359999999999992,-33.1
80134,BRASSY,75.36,46.03,-29.33,-38.92
65058,AZET,89.47,60.14,-29.33,-32.78
25518,SAINT-HILAIRE,94.07,64.75,-29.319999999999993,-31.17
15013,AURIAC-L'EGLISE,90.0,60.71,-29.29,-32.54
54121,CHARMOIS,96.27,67.04,-29.22999999999999,-30.36
08168,LA FERTÉ-SUR-CHIERS,89.66,60.54,-29.119999999999997,-32.48
08201,GRUYÈRES,88.16,59.04,-29.119999999999997,-33.03
46277,SAINT-MARTIN-LE-REDON,93.1,64.02,-29.08,-31.24
54396,NEUFMAISONS,85.55,56.5,-29.049999999999997,-33.96
21395,MASSINGY-LÈS-VITTEAUX,83.58,54.55,-29.03,-34.73
70296,LARIANS-ET-MUNANS,85.71,56.7,-29.00999999999999,-33.85
08398,SAINTE-VAUBOURG,86.3,57.33,-28.97,-33.57
21142,CHANCEAUX,78.95,50.0,-28.950000000000003,-36.67
07170,PAILHARÈS,87.83,58.89,-28.939999999999998,-32.95
26013,ARPAVON,85.54,56.63,-28.910000000000004,-33.8
26142,GLANDAGE,84.17,55.28,-28.89,-34.32
26147,GUMIANE,91.67,62.86,-28.810000000000002,-31.43
80729,SAUVILLERS-MONGIVAL,89.55,60.74,-28.809999999999995,-32.17
71115,CHÂTEL-MORON,85.54,56.76,-28.78000000000001,-33.65
25391,MONT-DE-LAVAL,88.2,59.52,-28.68,-32.52
08291,MOGUES,73.38,44.72,-28.659999999999997,-39.06
21579,SALIVES,84.24,55.62,-28.619999999999997,-33.97
21020,ARCONCEY,74.23,45.65,-28.580000000000005,-38.5
25131,CHÂTELBLANC,83.33,54.81,-28.519999999999996,-34.23
55438,ROMAGNE-SOUS-MONTFAUCON,86.89,58.39,-28.5,-32.8
45177,LAAS,71.86,43.45,-28.409999999999997,-39.54
08014,ANNELLES,76.15,47.79,-28.360000000000007,-37.24
73316,VILLARD-SALLET,84.31,55.99,-28.32,-33.59
14719,URVILLE,75.72,47.43,-28.29,-37.36
73047,BONNEVAL-SUR-ARC,67.92,39.68,-28.240000000000002,-41.58
39289,LECT,68.23,40.0,-28.230000000000004,-41.37
23243,SAINT-SILVAIN-SOUS-TOULX,79.09,50.88,-28.21,-35.67
57418,LOUDREFING,88.19,60.0,-28.189999999999998,-31.97
